timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1564737511502,177,HTTP Request - By name,200,OK,One city 1-1,text,true,,786,190,1,3,https://api.openweathermap.org/data/2.5/weather?q=London&appid=6ba0b81756e3b03376d7b6d65fc73f9e,177,0,138
1564737511680,46,HTTP Request - By city ID,200,OK,One city 1-1,text,true,,817,192,1,3,https://api.openweathermap.org/data/2.5/weather?id=2172797&appid=6ba0b81756e3b03376d7b6d65fc73f9e,46,0,0
1564737511727,40,HTTP Request - By geographic coordinates,200,OK,One city 1-1,text,true,,787,196,1,2,https://api.openweathermap.org/data/2.5/weather?lat=35&lon=139&appid=6ba0b81756e3b03376d7b6d65fc73f9e,40,0,0
1564737511768,40,HTTP Request - By zip,200,OK,One city 1-1,text,true,,791,194,1,1,"https://api.openweathermap.org/data/2.5/weather?zip=94040,us&appid=6ba0b81756e3b03376d7b6d65fc73f9e",40,0,0
